RazaoSocial;UF;TotalDespesas;MediaTrimestral;DesvioPadrao
ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL;SP;258436643.56;3800538.88;5268700.58
IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI;SP;253729827.27;3524025.38;6092171.88
UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO;GO;252446204.90;1842673.03;4037957.41
ATÍVIA SERVIÇOS DE SAÚDE S/A;SP;252357665.89;3077532.51;4135686.81
UNIODONTO BELÉM - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA;PA;251492759.05;3492954.99;5532346.05
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC;SE;247014351.19;3800220.79;6553397.90
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE;SE;246144556.77;3155699.45;5718531.42
UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO;SP;242514885.17;3674467.96;6062318.48
UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO;SP;240857437.52;1627415.12;3853867.53
FILOSANITAS SAUDE LTDA;SP;240613413.68;2703521.50;4777259.32
UNIMED TRÊS PONTAS - COOPERATIVA DE TRABALHO MÉDICO;MG;239448201.33;1073758.75;2976642.40
UNIX SAÚDE S.A;BA;235970170.51;2016839.06;3523816.13
UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;GO;235850847.51;1649306.63;3811593.27
UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO;PI;233747731.33;2032588.97;3919170.01
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;SP;232386135.62;2766501.61;5364584.45
ADVANCE PLANOS DE SAÚDE LTDA;SP;232209439.49;3518324.84;6328812.32
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO;RJ;231204061.85;5137868.04;6306837.74
TRINO - ALIANCA FILANTRÓPICA DE ASSISTÊNCIA E INTEGRAÇÃO PARA O DESENVOLVIMENTO DA SAUDE;ES;230259639.87;3243093.52;6022941.66
UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;230012713.81;1345103.59;3346940.31
FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV;ES;227956271.16;2681838.48;5968030.37
FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA;SC;224619095.71;2879732.00;5182218.66
PB ASSISTENCIA MEDICA EU LTDA;BA;222984307.28;2563038.01;4222320.81
SV SAUDE ADMINSTRADORES DE PLANO DE SAUDE LTDA;RJ;222520776.46;2342323.96;5128630.42
ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI;SP;221532185.28;2130117.17;4174790.20
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS);SP;220083330.50;2223063.94;4990346.71
UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO;SP;215591220.44;1290965.39;3163113.46
UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO ;MT;215567357.22;971024.13;2225542.24
MAIS SAUDE S/A;ES;214382259.62;3457778.38;5683858.07
PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA;SP;210248520.23;2841196.22;5084501.24
ASSOCIAÇÃO SAÚDE CONCEIÇÃO;SC;208228090.24;2239011.72;4568587.41
UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;207542677.88;886934.52;1801837.52
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO;RJ;204300964.14;2724012.86;4100972.95
EVANGELICO SAUDE LTDA.;PR;202310046.57;1322287.89;3287021.43
SANTA CASA DE MISERICORDIA HOSPITAL SÃO VICENTE;SP;200503208.93;1891539.71;4427577.76
UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO EM RECUPERAÇÃO JUDICIAL;PB;197459862.42;2350712.65;5503163.40
UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;192912934.77;884921.72;2058798.67
ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO;GO;192810207.96;2410127.60;4484384.50
AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;RO;192745775.44;3212429.59;4969794.72
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.;RS;189931099.08;1938072.44;3934233.03
SOCIEDADE PORTUGUESA DE BENEFICÊNCIA;RS;185520217.56;1394888.85;3101239.40
UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;GO;183000303.98;571875.95;1456573.38
UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA;CE;181608551.06;3243009.84;4940438.18
SANTA CASA DE MISERICÓRDIA E BENEFICÊNCIA PORTUGUESA;SP;177810972.99;2195197.20;4061428.93
SANTA CASA DE SAÚDE - SCS;ES;171453304.95;1714533.05;3340406.18
CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND;SE;169007446.83;2036234.30;4445951.51
DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL;MG;167510918.41;1298534.25;3254438.54
UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;SP;167261624.07;663736.60;1731815.64
UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO;PB;165410458.66;990481.79;2180516.53
UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO;BA;164675408.28;1892820.78;2456970.03
UNIODONTO PORTO ALEGRE COOPERATIVA ODONTOLOGICA LTDA;RS;164101645.34;3038919.36;4457092.08
UNIODONTO/RN - COOPERATIVA ODONTOLOGICA DO RIO GRANDE DO NORTE;RN;163905437.34;2875533.99;4161895.27
FUNASA SAÚDE;PB;162154496.92;1706889.44;3065326.53
HOSPITAL DE PRONTOCLINICA LTDA.;RS;161393396.10;1613933.96;3044713.63
UNIODONTO DE SC COOPERATIVA ADMINISTRADORA DE CONTRATOS;SC;160342575.09;1619621.97;3326508.32
UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA;MG;157597642.90;2101301.91;3871815.74
UNIODONTO PIRACICABA - COOPERATIVA ODONTOLÓGICA;SP;157316395.93;2537361.22;4244077.46
UNIDENTIS ASSISTENCIA ODONTOLOGICA LTDA.;PB;155887750.24;3464172.23;4638564.19
UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;155080924.79;1211569.72;2479064.99
ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA;BA;154678182.61;2178565.95;3648722.77
UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA;AL;153477796.02;5684362.82;5684798.01
AURORA SAÚDE LTDA;MG;153173451.81;1891030.27;3154624.69
UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO;MG;153093603.23;981369.25;2081078.10
UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA;MG;152569697.70;1210870.62;2289467.60
CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.;SP;150346747.33;2147810.68;3425469.29
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;RS;148015919.47;2145158.25;3900954.83
VIVENTERIS LTDA;PR;145285204.71;2343309.75;2780685.19
UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO;MS;144395607.75;1223691.59;2219226.62
NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.;PE;142626161.42;3169470.25;3816938.70
UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA;MG;142558001.71;1063865.68;2008581.98
VIDA TOP MAIS SAÚDE OPERADORA DE PLANOS DE SAÚDE LTDA.;SP;142079800.07;1246314.04;2805707.35
UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS;GO;141064196.26;1567379.96;3269295.60
ASSOCIAÇAO UNISAUDE MARAU;RS;139663310.11;1454826.15;2672204.20
ASSOCIAÇÃO DO FISCO DE ALAGOAS;AL;138145223.26;1726815.29;4211705.63
SUL DO PARÁ LTDA;PA;136406824.75;2393102.19;2775946.18
RIO DOCE SAÚDE;ES;135702586.96;1304832.57;2804065.13
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);SP;133690430.28;1392608.65;3055423.03
ON MED ASSISTÊNCIA MÉDICA LTDA;RS;132779547.79;1383120.29;2793715.01
TOTAL ASSISTÊNCIA MÉDICA HOSPITALAR LTDA;MG;121674120.49;2295738.12;2875600.94
UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO;GO;119119402.09;945392.08;1844562.62
UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO;PI;116594384.98;2429049.69;3456176.69
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;SP;116589926.71;1475821.86;2925557.71
ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.;SP;116541554.14;2285128.51;3086831.84
R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA;SP;116122486.11;3055854.90;4527602.37
FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA;MG;112853407.39;854950.06;2000254.31
UNIODONTO DE JOÃO PESSOA COOPERATIVA ODONTOLÓGICA;PB;111511333.34;2065024.69;3277567.67
CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA;MG;109317231.54;1175454.10;1852720.09
UNIMED SOUSA - COOPERATIVA DE TRABALHO MÉDICO;PB;106894441.75;1068944.42;1835020.80
HOSPITAL CESAR LEITE;MG;104823058.61;988896.78;1800364.14
SEPACO SAÚDE LTDA;SP;104616463.53;1453006.44;2418825.76
UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS;SP;102882014.41;1804947.62;2501861.52
CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE;SC;101016389.86;1346885.20;2525649.82
OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA;RJ;100925105.49;870044.01;1709992.79
CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;RJ;100809992.57;933425.86;2059542.49
SOCIEDADE DE ASSISTÊNCIA MÉDICA - SAMEISA;RS;100294399.02;1337258.65;2393050.98
ODONTOGROUP SISTEMA DE SAÚDE LTDA.;DF;99636428.12;2075758.92;3240938.54
ASSOCIACAO DE SAUDE HOLAMBRA;SP;99473224.19;2368410.10;3369275.19
UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS;MG;98596467.65;1202395.95;5264951.60
UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO;MG;98100789.77;469381.77;1024161.24
ASSOCIAÇÃO BENEFICENTE CATÓLICA;MG;98053737.77;797184.86;1448608.59
ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM;AM;97677206.55;1502726.25;2717029.35
UNIODONTO PAULISTA-FEDERAÇÃO DAS COOPERATIVAS ODONTOLÓGICAS DO ESTADO DE SÃO PAULO;SP;94660625.45;2014055.86;2298033.85
SISTEMA TOTAL DE SAÚDE LTDA.;SP;92689250.29;1018563.19;1923981.29
ANGELI SISTEMAS DE SAUDE S.A.;PR;92547564.67;1039860.28;1979713.25
UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.;AM;91156786.67;1321112.85;2210775.17
HOSPITAL S.P. LTDA.;RS;89546053.12;1029264.98;1901294.10
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA;SP;88862291.50;1184830.55;2289934.24
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;MG;87891138.96;853312.03;1618796.40
MEDGOLD ASSISTENCIA MEDICA LTDA - ME;MG;87618550.43;768583.78;1265837.82
MEDIC GLOBAL PLANOS DE SAÚDE LTDA.;MG;85055039.86;859141.82;1476406.70
PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA;SP;84390518.34;843905.18;1726523.26
PRONTO SOCORRO CONDE DE MOREIRA LIMA;SP;83678906.84;589288.08;1238392.39
PLANO ASSISTENCIAL SÃO LUCAS LTDA;MG;83127692.90;755706.30;1277738.88
PLAMESC PLANOS DE SAÚDE LTDA;RJ;81406175.65;935703.17;1689358.40
PRIMA VIDA ODONTOLOGIA DE GRUPO LIMITADA;RJ;80776782.11;1282171.14;2000870.91
ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA;BA;79827250.78;1773938.91;1955607.73
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;SP;78429179.74;676113.62;1465489.83
UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓGICA;SP;78340886.51;1305681.44;1826549.58
VOCÊ TOTAL PLANOS DE SAÚDE LIMITADA;SP;76686873.84;1111403.97;1906545.88
SANTA CASA DE MISERICÓRDIA DE TUPÃ;SP;74640525.49;1051275.01;1775149.40
CEAM BRASIL - PLANOS DE SAÚDE LTDA;MG;74420720.76;2126306.31;2222645.38
UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO;SP;72929379.70;602722.15;977888.71
COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA;PB;72521135.25;1272300.62;1864156.13
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PR;71758200.47;1435164.01;2222975.84
ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO;SP;71470313.66;667946.86;1446977.27
SERVDONTO - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA;SE;71115048.13;1580334.40;2172437.73
DONA SAÚDE CLINICAS LTDA ;SP;65673368.11;1010359.51;1428715.34
CEDPLAN SAÚDE LTDA EPP;MG;65265171.13;701776.03;1169174.75
UNIODONTO UBERABA - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA LTDA;MG;65128624.11;1163011.14;1772042.93
S1 OPERADORA DE PLANO DE SAÚDE LTDA;DF;64259128.76;747199.17;1518072.93
NOSAMED ASSISTÊNCIA MÉDICA LTDA.;SP;62558976.73;695099.74;1339616.26
TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;RJ;61467003.38;2561125.14;2422284.37
PLENUM ASSISTENCIA MEDICA  LTDA;DF;61218573.29;2186377.62;2291214.34
UNIMED CAJAZEIRAS - SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO;PB;59796130.91;892479.57;2137830.90
UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA;MG;59518891.26;1214671.25;4041592.12
FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO;MS;59437418.25;928709.66;1440623.71
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU;PR;57643956.21;711653.78;1348705.49
UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA;SP;57589743.60;1066476.73;1636623.68
PERSONAL CARE OPERADORA DE SAÚDE SA;SP;56350974.71;1083672.59;1612761.22
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS;SP;55843251.31;1163401.07;1686818.62
SEMPRE ODONTO PLANOS ODONTOLOGICOS LTDA;RJ;54522793.52;1009681.36;1388669.61
UNIODONTO VALE HISTORICO COOPERATIVA ODONTOLOGICA;SP;54443073.74;955141.64;1467054.11
CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.;RJ;54216826.86;1390175.05;1681313.48
UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA;SP;53797413.37;978134.79;1473649.25
UNIODONTO DO SUL GOIANO COOPERATIVA ODONTOLOGICA;GO;51663833.13;1230091.27;1507816.78
UNIODONTO DE JUNDIAÍ COOPERATIVA ODONTOLÓGICA;SP;51269536.85;854492.28;1207219.57
CAMIM OPERADORA DE PLANO DE SAÚDE LTDA;RJ;50595767.97;887645.05;1022255.31
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;SP;49186939.96;702670.57;1235564.64
SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA;RJ;48890613.37;679036.30;831569.82
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;SP;48123042.60;566153.44;937257.65
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ;PA;46840975.74;836446.00;1405046.84
ODONTOART PLANOS ODONTOLÓGICOS LTDA;CE;46577491.44;950561.05;1395432.19
PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA;MG;46378825.07;572578.09;776904.78
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;SP;45828447.31;391696.13;816680.32
UNIODONTO ESPIRITO SANTO COOPERATIVA ODONTOLOGICA;ES;45733847.38;802348.20;1228007.42
ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL;SP;45722908.21;635040.39;1117397.69
UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA;PR;45648682.26;951014.21;1333408.15
COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS;MG;45275802.70;794312.33;1295694.26
PLANO VIDA SAUDE SERVIÇOS ODONTOLOGICOS LTDA;SE;44517903.97;989286.75;1220860.83
DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.;SP;44268673.72;868013.21;1153585.00
PRESERVE SAUDE ASSISTENCIA MEDICA LTDA;BA;43611238.12;363426.98;864860.96
SD-M OPERADORA DE PLANOS DE SAUDE LTDA;RJ;43049475.90;878560.73;1067717.53
VALE PLANOS DE SAÚDE LTDA;PE;42265403.93;960577.36;1087137.24
ASSOCIAÇÃO SAÚDE RURAL ALEGRETE;RS;41470553.50;476673.03;968446.33
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ;SP;40471495.22;396779.36;793544.81
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME;GO;40143859.47;514664.87;1004935.75
UNIODONTO DE LONDRINA COOP. ODONTOLÓGICA;PR;39664374.11;610221.14;937158.53
UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;SP;39239164.50;523188.86;817205.37
ODONT-OPERADORA ODONTOLOGICA LTDA;SP;38435265.73;610083.58;710776.73
DENTAL CENTER LTDA;PB;37880995.88;841799.91;1090421.82
ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;SE;37753569.03;572023.77;1005908.92
UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA;SP;37533596.36;536194.23;791472.33
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;SP;37234346.12;689524.93;949310.55
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU;SP;36787863.88;497133.30;983990.33
COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ;AP;36709400.06;764779.17;1161024.82
BENEFICENCIA SOCIAL BOM SAMARITANO;MG;35774091.86;322289.12;562223.92
AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP;SP;35456247.62;695220.54;1113785.10
RODRIGUES LEIRA ODONTOLOGIA LTDA.;SP;35193576.26;748799.49;1059256.36
SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS;SP;35021097.41;280168.78;531630.60
HSMED SAUDE LTDA;RJ;35014520.90;389050.23;590162.03
UNIVIDA USA OPERADORA EM SAUDE S/A;SP;33914323.73;869598.04;767439.77
MH VIDA - OPERADORA DE PLANOS DE SAÚDE LTDA;RJ;33226785.76;405204.70;771644.92
PD BRASIL ASSISTENCIA ODONTOLOGICA LTDA;MG;32400246.04;720005.47;407648.93
UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA;RS;31902802.39;759590.53;823107.56
ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA;RJ;31161742.83;404697.96;489829.90
DENTAL MASTER LTDA - EPP;AL;30593012.82;1699611.82;1037515.10
DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;SP;30416426.17;596400.51;806539.62
YOU ASSISTÊNCIA MÉDICA LTDA.;MG;28506600.32;2036185.74;1597075.93
SALUSMED OPERADORA DE PLANOS DE SAUDE LTDA;SP;28392018.37;630933.74;807469.99
UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA;SP;27835654.12;773212.61;872898.60
ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.;SP;27802388.70;579216.43;869306.22
UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA;SP;27690276.51;446617.36;547729.67
DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;PB;27482134.82;610714.11;852294.87
ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;PE;26664178.19;555503.71;702320.25
PORTO DIAS SAUDE LTDA.;PA;25171016.08;419516.93;649027.23
ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE;SP;24146840.49;383283.18;625637.66
COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ;MG;23587679.87;436808.89;645670.08
PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA.;SP;22990596.67;478970.76;607569.05
ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA;MG;22848692.87;634685.91;690808.73
FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC;CE;21829526.89;234726.10;967092.33
UNIMED VALE DO PARAÍBA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;SP;21677572.56;1032265.36;2220793.32
CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA;SP;21449271.66;335144.87;562426.09
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;RS;20621297.75;502958.48;635586.48
ZURICH SANTANDER BRASIL ODONTO LTDA.;SP;18796856.08;447544.19;275116.16
PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME;BA;18557869.99;883708.09;675480.54
ODILE SERVIÇOS DE SAÚDE LTDA.;SP;18224636.32;433919.91;220149.96
HEALTH-MED SISTEMA DE SAUDE LTDA;RJ;17951642.65;284946.71;424849.60
UNIODONTO DE MATO GROSSO COOP TRAB ODONTOLOGICO LTDA;MT;17233714.35;307744.90;429775.11
QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA ;BA;17162832.99;817277.76;624547.17
BLUZZ SAÚDE S/A;ES;17056630.59;262409.70;345298.35
SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI;MG;16918877.41;225585.03;256392.34
CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A;SP;16868501.75;318273.62;571196.28
MEDHEALTH PLANOS DE SAÚDE LTDA;PR;15306764.35;268539.73;649749.38
ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A.;SP;14516694.40;345635.58;473226.97
HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO;PR;12878415.77;429280.53;235011.12
SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA.;MA;12736608.74;289468.38;335602.23
CROWN ODONTOLOGIA DE GRUPO LTDA;SP;11078566.22;246190.36;283882.31
INNOVA PLANO DE SAUDE LTDA;RO;10848091.87;387431.85;502920.90
SORRIDEN CONVÊNIOS ODONTOLÓGICOS S.A.;SP;10706130.82;237914.02;290853.19
NOVODENTE S/A;RS;10447973.77;614586.69;649477.61
CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.;CE;10114504.41;210718.84;304782.60
SISTEMA PREVSAUDE DENTAL LTDA;CE;9654948.95;321831.63;331985.25
INFINITY SAÚDE SUPLEMENTAR LTDA;MT;9616283.12;162987.85;239492.74
PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA;MG;8161426.81;214774.39;189689.48
UNICONSULT - ADMINISTRADORA DE BENEFICIOS E SERVICOS LTDA;SP;8118135.89;4059067.95;316265.57
ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;SP;7514897.50;178926.13;135436.00
UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO;MG;6847350.13;108688.10;145703.10
BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;TO;6428611.01;306124.33;207847.93
SMART CARE SISTEMAS MÉDICOS E ODONTOLÓGICOS LTDA.;SP;5967184.00;213113.71;250652.85
INTERCLINICAS PLANO VIDA USA OPERADORA DE SAUDE LTDA;SP;5626173.92;133956.52;171819.64
PLANO SIGMA SAÚDE LTDA;SP;5469811.75;248627.81;144166.69
BEMSTAR ASSISTENCIA MEDICA LTDA;BA;5115938.69;74144.04;77096.31
G & M ASSESSORIA MEDICA EMPRESARIAL LTDA;RJ;5093485.89;62882.54;92057.99
EXCELÊNCIA PLANO DE SAÚDE S/A;ES;5016396.33;98360.71;196902.16
POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;RS;4948919.89;67793.42;105487.94
ODONTO PRIME S/S LTDA;CE;4857944.40;269885.80;154817.53
BIORAL SISTEMA ODONTOLÓGICO LTDA.;SP;4612366.50;170828.39;272466.44
SAUDIA ASSISTENCIA MÉDICA LTDA;MG;3975998.70;64129.01;88274.73
QUALICORP ADMINISTRADORA DE BENEFÍCIOS S.A.;SP;3971524.55;1323841.52;1760359.48
ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA;SP;3529987.05;168094.62;140603.22
UNIMED FEDERAÇAO DO ESTADO DO MATO GROSSO;MT;2774148.10;154119.34;30032.58
LIVRI OPERADORA DE PLANO DE SAÚDE LTDA;SP;2538767.17;60446.84;36850.78
QUALICORP CLUBE DE SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA.;SP;1948449.11;649483.04;119562.99
CLÍNICA SÃO GABRIEL S/S LTDA;SP;1389079.65;27781.59;29420.01
EVO SAUDE ASSISTENCIA MEDICA LTDA;DF;861805.86;31918.74;39730.08
SAGRADA SAÚDE ASSISTÊNCIA MÉDICA LTDA;MG;785669.03;19162.66;23773.69
QV BENEFÍCIOS EM SAÚDE LTDA;RJ;609578.70;203192.90;212785.51
