RazaoSocial;UF;TotalDespesas;MediaTrimestral;DesvioPadrao
UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO;SP;2967941692.40;18208231.24;41414989.65
FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PR;2967700301.71;17560356.81;46098908.08
MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.;SP;2964574766.89;42351068.10;81265590.58
UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO;SP;2949454547.72;9576151.13;34151251.53
UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES;SP;2923685293.69;7420521.05;27655979.86
REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;RJ;2901581587.51;13817055.18;37060446.92
UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA;RO;2820284284.64;11606108.17;26557769.22
DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;RS;2812299441.28;16070282.52;49217688.33
COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.;RS;2797397948.25;8580975.30;29779333.74
UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA;SC;2788905428.30;6516134.18;24331792.33
H.B. SAÚDE S/A.;SP;2779421283.28;21545901.42;48757570.96
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP;RJ;2744562143.92;23865757.77;57352630.52
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL;PE;2729255727.36;24587889.44;61241401.13
UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA;PB;2687501824.24;20359862.30;44287136.09
ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;SP;2674935661.93;28157217.49;66726625.14
UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.;MG;2668587892.37;11355693.16;30451769.37
COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE;MG;2653047970.86;9374727.81;28136479.30
ASSOCIAÇÃO SANTA SAÚDE;SP;2644796030.86;17515205.50;46416299.20
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.;SP;2621626123.93;18997290.75;47767942.92
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA;SP;2618988214.90;23383823.35;47664280.21
UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.;CE;2558967497.15;18543242.73;43034412.45
UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;2556402465.69;8969833.21;25837720.51
UNIMED SALTO/ITU - COOPERATIVA MÉDICA;SP;2468525785.99;8014694.11;24251654.49
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;SP;2448631767.71;27207019.64;57138770.66
KLINI PLANOS DE SAÚDE LTDA;RJ;2382189063.56;23128049.16;46164888.37
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL;RS;2363728551.92;13584646.85;35994363.09
UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE;SC;2335365568.22;11336726.06;26934076.17
PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.;BA;2309695965.08;25663288.50;56082824.70
PLANO DE SAÚDE ANA COSTA LTDA.;SP;2306962383.81;11534811.92;35902246.77
UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.;MG;2303522356.86;8792070.06;24523106.63
SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO;SP;2257727937.35;34734275.96;54506942.07
UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO;RJ;2248041432.44;9485406.89;25033671.88
UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA;MT;2231931195.15;6526114.61;20823749.05
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ;RJ;2209483566.17;12625620.38;30063882.76
CIRCULO OPERARIO CAXIENSE;RS;2193516716.35;12606417.91;30872136.89
